MATERIAL_ID,MATERIAL_NAME,MATERIAL_TYPE,MATERIAL_COLOR,PRICE_SQFT,SELL_DATE,SQFT_SOLD,SALES_TOTAL,EXPENSES,PROFIT,CUSTOMER,CITY_NAME,COUNTY_NAME,STATE,TYPE,TRIMESTRE
C956-RNA2CRL,CORIAN,SOLID SURFACE,CARRARA LINO,71,1/2/2024,56.00934987,3976.663841,2584.831496,1391.832344,Marissa Kirby,Bethesda,Montgomery,MD,Customer,2024Q1
STGR539001,STONEMARK,GRANITE,ALPINE VALLEY,53.9,1/2/2024,25.40399135,1369.275134,890.0288369,479.2462968,Spencer Coleman,Bethesda,Montgomery,MD,Customer,2024Q1
LG-G015-HM,HI-MACS,SOLID SURFACE,MIDNIGHT PEARL,50,1/2/2024,15.60558485,780.2792423,507.1815075,273.0977348,Juan Williams,Bethesda,Montgomery,MD,Customer,2024Q1
STGR747009,STONEMARK,GRANITE,MIRAGE WHITE,74.7,1/3/2024,50.76168796,3791.898091,2464.733759,1327.164332,Christopher Williams,Baltimore,Baltimore City,MD,Customer,2024Q1
STGR639001,STONEMARK,GRANITE,AMARELLO ORNAMENTAL,63.9,1/3/2024,56.0494815,3581.561868,2328.015214,1253.546654,Anna Miller,Alexandria,Alexandria,VA,Customer,2024Q1
LG-M557-HM,HI-MACS,SOLID SURFACE,CLOUD CONCRETE,50,1/3/2024,70.10441785,3505.220892,2278.39358,1226.827312,Mrs. Monica Fischer,Fairfax,Fairfax,VA,Customer,2024Q1
C930-15202MT,CORIAN,SOLID SURFACE,ANTARCTICA,60,1/4/2024,57.83260193,3469.956116,2255.471475,1214.48464,Jacqueline Morgan,Bethesda,Montgomery,MD,Customer,2024Q1
MC-2X29911SS,WILSONART,SOLID SURFACE,MONTE AMIATA,60,1/4/2024,49.76121118,2985.672671,1940.687236,1044.985435,Brittany Walters,Alexandria,Alexandria,VA,Customer,2024Q1
STGR808009,STONEMARK,GRANITE,ZERMATT,80.8,1/4/2024,34.7945645,2811.400812,1827.410528,983.9902842,Michael York,Washington,District of Columbia,DC,Customer,2024Q1
LG-M601-HM,HI-MACS,SOLID SURFACE,TORANO,60,1/4/2024,40.94244286,2456.546572,1596.755272,859.7913001,Thomas Guerrero,Falls Church,Falls Church,VA,Customer,2024Q1
STGR639004,STONEMARK,GRANITE,COFFEE BROWN,63.9,1/4/2024,34.70381337,2217.573675,1441.422889,776.1507861,Tristan Roy,Bethesda,Montgomery,MD,Customer,2024Q1
STGR747001,STONEMARK,GRANITE,ARABIAN NIGHTS,74.7,1/5/2024,21.92741477,1637.977883,1064.685624,573.2922591,Joy Fox,Gaithersburg,Montgomery,MD,Customer,2024Q1
LG-T002-HM,HI-MACS,SOLID SURFACE,COSMOS,60,1/5/2024,23.86614309,1431.968586,930.7795807,501.189005,Timothy Gordon,Silver Spring,Montgomery,MD,Customer,2024Q1
C956-RNA2NX,CORIAN,SOLID SURFACE,NEUTRAL CONCRETE,60,1/5/2024,13.30380003,798.2280019,518.8482013,279.3798007,Natalie Patterson,Fairfax,Fairfax,VA,Customer,2024Q1
STGR539008,STONEMARK,GRANITE,UBATUBA,53.9,1/5/2024,11.40355847,614.6518014,399.5236709,215.1281305,Sabrina Mccarthy,Silver Spring,Montgomery,MD,Customer,2024Q1
STGR808010,STONEMARK,GRANITE,CYGNUS,97.6,1/6/2024,12.4503648,1215.155605,789.851143,425.3044616,Alexa Rowe,Washington,District of Columbia,DC,Customer,2024Q1
LG-M502-HM,HI-MACS,SOLID SURFACE,VATHI,60,1/8/2024,61.16598645,3669.959187,2385.473471,1284.485715,Thomas Wyatt,Alexandria,Alexandria,VA,Customer,2024Q1
C930-15202MP,CORIAN,SOLID SURFACE,PLATINUM,71,1/8/2024,46.65648854,3312.610686,2153.196946,1159.41374,Jennifer Ortiz,Fairfax,Fairfax,VA,Customer,2024Q1
C956-RNA2ARG,CORIAN,SOLID SURFACE,ARTISTA GRAY,60,1/8/2024,42.07335969,2524.401581,1640.861028,883.5405534,David Ortiz,Falls Church,Falls Church,VA,Customer,2024Q1
STGR808005,STONEMARK,GRANITE,DELICATUS WHITE,80.8,1/8/2024,26.60704627,2149.849339,1397.40207,752.4472686,Jessica Alvarado,Silver Spring,Montgomery,MD,Customer,2024Q1
C930-15202RC,CORIAN,SOLID SURFACE,RAIN CLOUD,71,1/9/2024,65.09873529,4622.010206,3004.306634,1617.703572,Sherry Bentley,Alexandria,Alexandria,VA,Customer,2024Q1
STGR747007,STONEMARK,GRANITE,DESERT BEACH,74.7,1/9/2024,29.89331275,2233.030462,1451.469801,781.5606618,Kimberly Lewis,Baltimore,Baltimore City,MD,Customer,2024Q1
LG-T001-HM,HI-MACS,SOLID SURFACE,VENUS,60,1/9/2024,24.12395248,1447.437149,940.8341468,506.6030021,Bridget Scott,Gaithersburg,Montgomery,MD,Customer,2024Q1
C956-RNA2HX,CORIAN,SOLID SURFACE,ASH CONCRETE,71,1/9/2024,10.12754517,719.055707,467.3862096,251.6694975,Rebecca Gordon,Falls Church,Falls Church,VA,Customer,2024Q1
